date,home,away,odds_H,odds_D,odds_A
2026-06-11,Mexico,South Africa,1.36,3.9,8.4
2026-06-11,South Korea,Czech Republic,2.53,2.95,2.65
2026-06-12,Canada,Bosnia and Herzegovina,1.79,3.2,4.15
2026-06-12,United States,Paraguay,1.86,3.1,4.0
2026-06-13,Qatar,Switzerland,12.0,5.1,1.2
2026-06-13,Brazil,Morocco,1.62,3.4,5.0
2026-06-13,Haiti,Scotland,5.4,3.65,1.53
2026-06-13,Australia,Turkey,4.65,3.4,1.66
2026-06-14,Sweden,Tunisia,1.82,3.15,4.1
2026-06-14,Netherlands,Japan,1.96,3.25,3.4
2026-06-14,Germany,Curaçao,1.01,14.5,19.5
2026-06-14,Ivory Coast,Ecuador,3.35,2.75,2.23
2026-06-15,Belgium,Egypt,1.51,3.65,5.7
2026-06-15,Iran,New Zealand,1.84,3.05,4.15
2026-06-15,Spain,Cape Verde,1.05,9.3,19.5
2026-06-15,Saudi Arabia,Uruguay,7.3,3.85,1.4
2026-06-16,Austria,Jordan,,,
2026-06-16,Argentina,Algeria,1.35,4.0,8.3
2026-06-16,France,Senegal,1.41,3.9,6.9
2026-06-16,Iraq,Norway,14.5,5.8,1.15
2026-06-17,Portugal,DR Congo,,,
2026-06-17,Uzbekistan,Colombia,,,
2026-06-17,England,Croatia,,,
2026-06-17,Ghana,Panama,,,
2026-06-18,Czech Republic,South Africa,,,
2026-06-18,Mexico,South Korea,,,
2026-06-18,Switzerland,Bosnia and Herzegovina,,,
2026-06-18,Canada,Qatar,,,
2026-06-19,Turkey,Paraguay,,,
2026-06-19,Scotland,Morocco,,,
2026-06-19,Brazil,Haiti,,,
2026-06-19,United States,Australia,,,
2026-06-20,Netherlands,Sweden,,,
2026-06-20,Tunisia,Japan,,,
2026-06-20,Germany,Ivory Coast,,,
2026-06-20,Ecuador,Curaçao,,,
2026-06-21,Belgium,Iran,,,
2026-06-21,New Zealand,Egypt,,,
2026-06-21,Spain,Saudi Arabia,,,
2026-06-21,Uruguay,Cape Verde,,,
2026-06-22,France,Iraq,,,
2026-06-22,Norway,Senegal,,,
2026-06-22,Argentina,Austria,,,
2026-06-22,Jordan,Algeria,,,
2026-06-23,Portugal,Uzbekistan,,,
2026-06-23,Colombia,DR Congo,,,
2026-06-23,England,Ghana,,,
2026-06-23,Panama,Croatia,,,
2026-06-24,Morocco,Haiti,,,
2026-06-24,Bosnia and Herzegovina,Qatar,,,
2026-06-24,Scotland,Brazil,,,
2026-06-24,South Africa,South Korea,,,
2026-06-24,Mexico,Czech Republic,,,
2026-06-24,Canada,Switzerland,,,
2026-06-25,United States,Turkey,,,
2026-06-25,Paraguay,Australia,,,
2026-06-25,Curaçao,Ivory Coast,,,
2026-06-25,Ecuador,Germany,,,
2026-06-25,Japan,Sweden,,,
2026-06-25,Tunisia,Netherlands,,,
2026-06-26,Senegal,Iraq,,,
2026-06-26,Norway,France,,,
2026-06-26,Uruguay,Spain,,,
2026-06-26,New Zealand,Belgium,,,
2026-06-26,Egypt,Iran,,,
2026-06-26,Cape Verde,Saudi Arabia,,,
2026-06-27,Panama,England,,,
2026-06-27,Algeria,Austria,,,
2026-06-27,Jordan,Argentina,,,
2026-06-27,Colombia,Portugal,,,
2026-06-27,DR Congo,Uzbekistan,,,
2026-06-27,Croatia,Ghana,,,
