,elo
Argentina,2200.031804181881
Spain,2179.454832434148
France,2138.9508905877865
England,2113.124390681784
Colombia,2076.182402442159
Brazil,2067.1286375602695
Germany,2014.7106069343135
Portugal,2008.225654506723
Morocco,2007.3858258152347
Netherlands,2006.9670898392208
Mexico,1994.4278948680073
Japan,1990.70343425822
Norway,1976.5279348422027
Ecuador,1975.577796615987
Belgium,1955.1124482384073
Switzerland,1951.5347561046174
Uruguay,1949.6400711592028
Croatia,1930.8707259600205
Austria,1921.34597574501
Italy,1915.8616248667838
United States,1914.2359383008388
Denmark,1912.8911833500015
Australia,1907.9289749865243
Paraguay,1895.7479331190016
Senegal,1890.333777925274
South Korea,1884.1550362368382
Iran,1880.808804678471
Canada,1880.1073143251988
Nigeria,1879.8390453422153
Turkey,1872.6502862611999
Yugoslavia,1872.096442087779
Algeria,1866.1201853899329
Ivory Coast,1858.5547138307118
Ukraine,1841.2248322874802
Russia,1839.9874537091773
Scotland,1830.5629901715215
Egypt,1820.992796332469
Venezuela,1817.396494293254
Sweden,1814.0776969420822
Jersey,1805.2665618506674
Czechoslovakia,1803.3984950863676
Uzbekistan,1799.284131255843
Chile,1798.8387874556913
Basque Country,1796.8777216993951
Panama,1796.3906954362733
Serbia,1786.3494906335125
Greece,1784.6843370725464
DR Congo,1780.3393548740266
Poland,1773.4465595163006
Hungary,1768.8475134017126
Peru,1766.347166766921
Czech Republic,1760.4024329416304
Republic of Ireland,1756.956668530672
Kosovo,1756.9057851000855
Guernsey,1745.5652340134186
Jordan,1741.6394250281157
Wales,1737.6535177416752
Costa Rica,1737.3220889298616
Slovenia,1735.463950284815
New Zealand,1732.2497770730874
German DR,1731.18534400521
Slovakia,1728.3610631593467
Cameroon,1722.3058073451737
Iraq,1711.2293732167595
Bolivia,1711.2023861405958
Isle of Man,1709.12066577296
Saudi Arabia,1708.7169005815438
Mali,1706.5980086519721
Georgia,1702.5298875168983
Honduras,1694.0122481754693
Romania,1693.8527845999308
Northern Cyprus,1689.4413504713318
Israel,1686.938499111312
Occitania,1686.778319452051
Padania,1686.5640060576584
Tunisia,1683.955816906121
Cape Verde,1679.3281075033951
Albania,1670.856905437463
Ghana,1669.1123379967287
Haiti,1664.4265182385536
South Africa,1662.7259064844761
United Arab Emirates,1661.8495429135487
Northern Ireland,1661.2739722489405
Isle of Wight,1660.1447782914156
Catalonia,1653.562811594795
Burkina Faso,1649.9768278495594
Bosnia and Herzegovina,1649.8186627384864
Jamaica,1649.7939617224022
Iraqi Kurdistan,1645.2847786569937
North Macedonia,1644.5241124502224
Ynys Môn,1639.7255830380213
Guatemala,1638.1490912899035
Iceland,1632.9429682930747
Abkhazia,1628.2011435050074
Finland,1610.678014914112
Kárpátalja,1606.800340821288
New Caledonia,1599.212717684841
Syria,1594.420347670758
Kernow,1593.0843446775596
Andalusia,1592.1866486931276
Rhodes,1591.4729439512573
County of Nice,1591.014092923057
Angola,1587.6316298394104
Curaçao,1586.9703348735275
Panjab,1585.6959317742035
Palestine,1584.912268780243
Belarus,1581.2824467207367
Tamil Eelam,1580.794383065171
Réunion,1580.2522179409868
Guinea,1577.2717283289082
Suriname,1575.609489804929
Oman,1574.8403260562272
Qatar,1574.2368196219074
Ellan Vannin,1569.809758067272
Kurdistan,1566.9730313356388
Menorca,1566.2066843409525
Artsakh,1557.3482953951757
Corsica,1555.5531758354512
Yorkshire,1553.3018775413857
Chameria,1552.7362714552398
China,1549.4744692935064
Zambia,1548.864574704145
Arameans Suryoye,1546.334376524652
Quebec,1546.157894151636
Cascadia,1545.3374976570924
Bulgaria,1539.7162845977803
Benin,1537.8952587607387
Gambia,1537.5754217837741
Bahrain,1536.7144235939484
Zanzibar,1533.4014413914385
Thailand,1531.3534834446152
Libya,1529.1942307849263
Maule Sur,1528.345836909456
Galicia,1527.1045464034075
Trinidad and Tobago,1525.8530194733084
Asturias,1520.5297736017358
Gabon,1519.6561214020749
Western Armenia,1518.713326394531
Surrey,1516.2130038056891
Montenegro,1515.450389323145
Canary Islands,1514.898227675535
Biafra,1514.758215206706
Elba Island,1514.3099711854268
Parishes of Jersey,1513.8863601475543
Donetsk PR,1511.8359053119832
Uganda,1511.5797275811296
Tahiti,1509.740881919961
Madagascar,1508.7581527403588
Mapuche,1508.4707999873015
Kazakhstan,1508.422994231499
Felvidék,1507.4798925789405
Silesia,1506.7488411344668
Crimea,1504.8035765264415
Brittany,1504.1155668291278
Shetland,1503.158275905424
Indonesia,1501.8817857117579
United Koreans in Japan,1501.695654239705
Guadeloupe,1500.6960775776236
Délvidék,1500.2243042922803
Niger,1498.194317328739
Central Spain,1495.317158400716
Saugeais,1494.7399566642387
Togo,1494.3393615134053
Mozambique,1493.0814677424007
Nicaragua,1492.3086981394313
Cilento,1490.6492301611117
North Korea,1490.3871823540705
Sápmi,1489.7975653013693
Madrid,1489.472600564491
Luhansk PR,1489.1627614829845
El Salvador,1488.3498988006604
North Vietnam,1487.7539088347837
Comoros,1486.6479608294892
Seborga,1486.4332058757645
Sealand,1483.9468802414892
Székely Land,1483.9305362427242
Yoruba Nation,1483.5316944170752
Matabeleland,1482.6368518272502
Guyana,1482.2637710517993
Republic of St. Pauli,1480.8227815485468
Malaysia,1479.35544327974
Franconia,1478.1563424089045
Somaliland,1477.6876395834952
South Ossetia,1475.642264192233
Ryūkyū,1474.4366123214713
West Papua,1474.323417864415
Zimbabwe,1474.0368554097893
Åland Islands,1473.5803741503705
Martinique,1473.2881618762906
Sudan,1469.7165772730643
Sierra Leone,1469.5720599873862
Kenya,1469.474884769921
Gozo,1469.2997503401755
South Yemen,1468.8421228014643
Vietnam,1466.1965952906232
Greenland,1465.6811637278174
Kuwait,1465.648919227042
Luxembourg,1464.6369037923962
Romani people,1463.7759448582074
East Turkestan,1463.2158380220721
Aymara,1463.1833631032425
Provence,1460.1535405807454
Dominican Republic,1459.7983048387946
Hmong,1459.7614560236132
Kabylia,1455.8237628406368
Mayotte,1452.9331520088579
Papua New Guinea,1452.8203276669672
Monaco,1451.9740378589258
Chechnya,1451.2781138807961
Kyrgyzstan,1450.0789652383446
Mauritania,1449.93164814516
Saarland,1446.779231011914
Rwanda,1446.1106063682826
Lebanon,1444.3452973034164
Gotland,1443.2736831124714
Equatorial Guinea,1442.5877391754962
Vanuatu,1440.697579759986
Armenia,1439.9615912652864
Malawi,1436.4131152575592
Western Isles,1436.0423718282632
Liberia,1435.8903875953536
French Guiana,1435.373639950174
Tajikistan,1434.9968971168373
Faroe Islands,1430.824627134934
Manchukuo,1430.3535518953388
Găgăuzia,1429.5684160254118
Niue,1427.252227585117
Ticino,1426.5220163090094
Fiji,1422.5566088251226
Namibia,1422.2192566259378
Palau,1421.5450093718616
Estonia,1420.467712570868
Saint Barthélemy,1418.323013311343
Marshall Islands,1417.804105800631
Two Sicilies,1417.3987177133708
Lesotho,1417.0443516068801
Tanzania,1416.3230343667246
Vatican City,1410.6019020229094
Cuba,1410.3655963043022
Western Sahara,1400.1532408662556
Azerbaijan,1398.551203659362
Orkney,1397.3236311108783
Western Australia,1395.376073520644
Ambazonia,1392.1994949041577
Raetia,1391.4378268752394
Ethiopia,1390.9728743125472
Botswana,1385.8209106688494
Burundi,1385.5715624612367
Turkmenistan,1384.0569464614064
Solomon Islands,1370.9619719421407
Cyprus,1368.2513896542605
Central African Republic,1360.414635086239
Chagos Islands,1359.4859662346996
Guinea-Bissau,1359.470934971666
Barawa,1358.4024439200164
Puerto Rico,1355.2940419709712
Yemen DPR,1354.8209627158324
Malta,1352.295093744392
Saint Helena,1348.6348880251353
Lithuania,1347.4383160544448
Vietnam Republic,1346.986007559722
Hitra,1343.429097299132
Saint Vincent and the Grenadines,1343.199946261584
Saare County,1340.883533941576
Latvia,1339.5522932410543
Philippines,1338.5628052744928
Bermuda,1337.9677124101806
Congo,1328.0284552880803
Sark,1327.9442889702948
Micronesia,1326.874695329375
Eswatini,1315.1948542708953
Moldova,1313.8975908387808
Hong Kong,1308.11796931461
Saint Martin,1307.7683706068876
Yemen,1304.9987060286205
Sint Maarten,1303.2757437286327
Wallis Islands and Futuna,1295.9273881972033
Singapore,1292.1516472376268
Saint Pierre and Miquelon,1284.4093019883512
Belize,1284.1378146617856
Grenada,1281.9840303360406
Darfur,1274.7801031122867
South Sudan,1271.0531679144674
Saint Kitts and Nevis,1266.8999118797162
Tibet,1266.8045433758755
Samoa,1244.8787327086636
Chad,1244.830088742416
Montserrat,1236.3023848535993
India,1233.9797599540004
Kiribati,1232.5120754023408
Aruba,1223.909471125157
Saint Lucia,1222.945674125822
Tuvalu,1219.1116584484
Falkland Islands,1214.6901803434812
Mauritius,1207.0525445842552
Eritrea,1195.9186503151757
Frøya,1194.7100881872846
São Tomé and Príncipe,1180.1266573862872
Dominica,1176.6621247378473
Afghanistan,1169.7047550191987
Cook Islands,1147.676854976474
Gibraltar,1146.3808209160695
Andorra,1145.8503745822836
Bonaire,1144.2296388597142
Antigua and Barbuda,1135.4568278133688
Barbados,1135.324966788768
Myanmar,1134.475845747239
Bangladesh,1128.8288243356146
Pakistan,1117.6561347709921
Nepal,1100.8508761981245
Tonga,1087.3645469437924
Alderney,1076.9483999044924
Cambodia,1076.348826631414
Djibouti,1076.171746516338
Somalia,1059.0203580315203
Taiwan,1055.0223957369637
Cayman Islands,1054.6626712252253
British Virgin Islands,1052.0774677007598
Turks and Caicos Islands,1021.8661003181353
Sri Lanka,1010.4024917722832
Seychelles,1009.026164857843
United States Virgin Islands,1004.178634512619
Liechtenstein,999.4168741979304
Maldives,995.4367112472352
Mongolia,993.9876378919048
Northern Mariana Islands,982.0335188260202
Guam,979.2603237912788
Bahamas,973.6318153493603
American Samoa,943.0986355379698
Laos,936.8314502704463
Anguilla,924.8253436268644
Timor-Leste,907.8504058781001
Brunei,905.928226412413
San Marino,896.4414783238674
Bhutan,861.108951764437
Macau,847.6702334601732
