team,fanduel_odds,draftkings_odds,implied_fd_pct,implied_dk_pct,polymarket_pct,kalshi_pct,P_champion,P_final,model_pct
Spain,470.0,450.0,17.54,18.18,16.0,16.5,0.25375,0.36005,25.37
France,480.0,475.0,17.24,17.39,16.2,,0.1069,0.1928,10.69
England,700.0,700.0,12.5,12.5,10.9,,0.0648,0.13585,6.48
Portugal,,850.0,,10.53,,,0.03035,0.07545,3.03
Brazil,850.0,900.0,10.53,10.0,,,0.0549,0.12025,5.49
Argentina,1000.0,900.0,9.09,10.0,,,0.1995,0.3055,19.95
Germany,,1400.0,,6.67,,,0.02425,0.06295,2.43
Netherlands,,2000.0,,4.76,,,0.0272,0.0671,2.72
Norway,,3500.0,,2.78,,,0.0096,0.0287,0.96
Belgium,,4000.0,,2.44,,,0.01295,0.03945,1.3
Colombia,,4000.0,,2.44,,,0.05,0.11035,5.0
Mexico,5500.0,,1.79,,,,0.01665,0.04825,1.67
United States,6000.0,6000.0,1.64,1.64,,,0.0007,0.00425,0.07
Uruguay,,6500.0,,1.52,,,0.0125,0.0401,1.25
Canada,22500.0,,0.44,,,,0.0048,0.01695,0.48
